EmployeeID,Name,Age,Gender,Department,Salary,Experience,JoinDate,Attrition,PerformanceScore
1,Priya Kumar,58.0,Male,sales,40795.0,14.0,2017-03-26,Yes,3.0
2,Priya Sharma,27.0,Female,IT,101820.0,6.0,2014-05-30,Yes,2.0
3,Rahul Singh,38.0,Female,sales,62194.0,10.0,2007-03-04,No,5.0
4,Anil Singh,55.0,Female,sales,85263.0,23.0,2018-11-15,Yes,3.0
5,Priya Kumar,41.0,Female,HR,89820.0,1.0,2013-07-11,No,4.0
6,Kavya Sharma,49.0,Female,Finance,92969.0,20.0,2016-12-24,No,1.0
7,Amit Gupta,31.0,Female,sales,110305.0,21.0,2023-01-21,Yes,5.0
8,Divya Reddy,44.0,Female,sales,50658.0,9.0,2008-02-18,No,4.0
9,Divya Singh,35.0,Male,HR,84150.0,14.0,2007-01-15,Yes,3.0
10,Rohit Gupta,22.0,Male,Finance,94092.0,18.0,2005-04-05,No,5.0
11,Kavya Kumar,28.0,Female,sales,105038.0,12.0,2016-03-24,No,4.0
12,Arjun Gupta,44.0,Male,sales,98969.0,8.0,2005-01-05,Yes,2.0
13,Kavya Reddy,21.0,Female,IT,48483.0,6.0,2023-04-21,Yes,4.0
14,Rahul Singh,27.0,Female,Finance,105077.0,16.0,2017-02-04,No,4.0
15,Rohit Reddy,59.0,Female,HR,114475.0,1.0,2018-03-13,Yes,2.0
16,Priya Kumar,23.0,Female,HR,65757.0,17.0,2020-01-03,No,2.0
17,Sneha Singh,53.0,Male,Finance,62065.0,3.0,2015-06-23,Yes,4.0
18,Anil Singh,59.0,Female,Finance,114812.0,15.0,2008-02-23,Yes,5.0
19,Priya Singh,37.0,Female,HR,107798.0,20.0,2005-05-01,No,2.0
20,Meena Singh,44.0,Male,IT,111779.0,12.0,2010-12-13,No,1.0
21,Arjun Singh,48.0,Male,sales,76214.0,12.0,2021-10-11,No,1.0
22,Arjun Gupta,44.0,Male,sales,65774.0,8.0,2020-02-23,Yes,1.0
23,Divya Gupta,27.0,Female,HR,73190.0,10.0,2010-11-07,No,3.0
24,Rohit Sharma,36.0,Female,sales,58159.0,2.0,2015-04-13,Yes,3.0
25,Arjun Sharma,52.0,Female,Finance,37666.0,4.0,2011-05-24,No,2.0
27,Amit Reddy,26.0,Male,sales,33392.0,7.0,2015-12-17,No,4.0
29,Priya Sharma,54.0,Male,IT,109651.0,7.0,2011-12-01,Yes,3.0
30,Sneha Kumar,54.0,Female,Finance,95592.0,2.0,2010-04-24,Yes,5.0
31,Rahul Reddy,33.0,Male,Finance,52266.0,0.0,2008-07-28,Yes,5.0
32,Meena Sharma,45.0,Female,Finance,31910.0,13.0,2010-01-01,No,3.0
33,Amit Kumar,28.0,Male,sales,25206.0,14.0,2017-01-10,No,2.0
34,Rahul Gupta,32.0,Female,sales,75015.0,6.0,2012-01-14,No,1.0
35,Divya Sharma,51.0,Female,IT,112939.0,12.0,2021-02-19,No,5.0
36,Priya Reddy,34.0,Male,Finance,58827.0,12.0,2019-12-17,No,3.0
37,Arjun Sharma,41.0,Female,IT,47299.0,1.0,2017-10-07,Yes,2.0
38,Amit Reddy,25.0,Male,IT,94163.0,19.0,2020-02-26,Yes,3.0
39,Priya Reddy,47.0,Female,HR,46976.0,6.0,2020-02-03,Yes,1.0
40,Anil Sharma,20.0,Male,Finance,91842.0,24.0,2017-11-29,No,4.0
41,Sneha Sharma,32.0,Female,Finance,171484.5,2.0,2014-07-15,Yes,3.0
42,Arjun Sharma,28.0,Male,sales,28748.0,0.0,2017-07-15,No,3.0
43,Arjun Singh,43.0,Female,Finance,59766.0,21.0,2019-04-21,Yes,1.0
44,Amit Singh,31.0,Male,Finance,77733.0,6.0,2008-02-08,Yes,2.0
45,Sneha Kumar,22.0,Female,Finance,48664.0,4.0,2013-09-26,Yes,1.0
46,Divya Singh,36.0,Female,IT,51736.0,1.0,2023-09-30,Yes,2.0
47,Meena Sharma,47.0,Male,HR,25854.0,4.0,2021-03-30,Yes,1.0
48,Rohit Gupta,20.0,Female,HR,71717.0,1.0,2006-02-16,No,5.0
49,Kavya Reddy,45.0,Female,sales,51309.0,22.0,2006-11-02,No,4.0
50,Sneha Kumar,30.0,Female,HR,37688.0,5.0,2005-06-16,No,5.0
51,Priya Gupta,53.0,Female,IT,90733.0,21.0,2021-10-11,Yes,3.0
52,Divya Kumar,35.0,Female,sales,50184.0,8.0,2009-06-13,No,4.0
53,Divya Kumar,25.0,Female,sales,76663.0,2.0,2006-07-19,No,4.0
54,Meena Kumar,55.0,Female,sales,97082.0,2.0,2008-12-13,No,3.0
55,Meena Singh,39.0,Female,IT,27911.0,6.0,2011-04-04,No,4.0
56,Divya Gupta,52.0,Female,IT,108879.0,6.0,2012-12-16,No,2.0
57,Arjun Kumar,59.0,Male,Finance,62504.0,10.0,2010-05-23,Yes,4.0
58,Priya Reddy,44.0,Female,IT,72254.0,9.0,2016-11-28,No,3.0
59,Meena Reddy,26.0,Female,HR,71843.0,15.0,2022-02-04,No,2.0
60,Amit Gupta,21.0,Female,sales,56616.0,15.0,2010-02-07,Yes,4.0
61,Amit Kumar,24.0,Male,sales,54855.0,22.0,2016-01-05,No,1.0
62,Meena Singh,54.0,Male,sales,67642.0,15.0,2023-06-10,Yes,3.0
63,Rahul Sharma,39.0,Female,HR,31295.0,21.0,2014-05-03,No,1.0
64,Meena Singh,43.0,Female,Finance,54299.0,10.0,2021-08-07,Yes,1.0
65,Amit Kumar,27.0,Male,HR,30539.0,5.0,2018-04-27,No,3.0
66,Amit Singh,54.0,Male,sales,27557.0,24.0,2023-01-12,Yes,3.0
67,Rahul Reddy,44.0,Male,sales,93497.0,13.0,2017-10-07,No,2.0
68,Amit Singh,21.0,Female,IT,27869.0,2.0,2014-09-10,Yes,5.0
69,Priya Sharma,55.0,Female,sales,115272.0,3.0,2020-01-30,Yes,1.0
70,Meena Gupta,33.0,Male,IT,116412.0,15.0,2016-01-12,No,4.0
71,Kavya Reddy,27.0,Female,sales,71214.0,2.0,2013-12-25,No,1.0
72,Priya Reddy,52.0,Female,Finance,95091.0,18.0,2005-01-10,No,5.0
73,Anil Sharma,27.0,Female,Finance,44738.0,1.0,2010-12-28,No,5.0
74,Priya Kumar,49.0,Female,IT,64790.0,0.0,2017-05-22,Yes,5.0
75,Meena Kumar,38.0,Male,HR,81835.0,2.0,2014-04-27,No,1.0
76,Arjun Sharma,36.0,Male,IT,81491.0,13.0,2011-03-14,No,5.0
77,Anil Reddy,25.0,Female,IT,72202.0,8.0,2015-01-07,No,5.0
78,Meena Reddy,43.0,Male,Finance,28420.0,16.0,2014-03-20,No,5.0
79,Rohit Sharma,50.0,Female,Finance,91235.0,0.0,2023-12-15,Yes,4.0
80,Rahul Singh,40.0,Male,IT,31102.0,0.0,2018-12-24,No,3.0
81,Arjun Singh,37.0,Female,HR,59584.0,9.0,2018-11-07,Yes,2.0
82,Rohit Kumar,22.0,Male,IT,76885.0,23.0,2005-08-26,No,2.0
83,Kavya Singh,51.0,Male,sales,29014.0,21.0,2006-10-09,Yes,2.0
85,Priya Singh,36.0,Female,Finance,52751.0,0.0,2015-04-01,No,1.0
86,Priya Sharma,58.0,Female,sales,79748.0,9.0,2023-08-14,Yes,2.0
87,Divya Singh,54.0,Female,IT,75993.0,24.0,2009-11-30,Yes,5.0
88,Priya Kumar,26.0,Male,HR,114912.0,3.0,2011-08-15,Yes,5.0
89,Rahul Gupta,39.0,Female,Finance,27368.0,7.0,2023-07-01,No,4.0
90,Priya Singh,42.0,Female,IT,38403.0,1.0,2013-11-30,Yes,2.0
91,Rohit Kumar,51.0,Female,sales,35966.0,21.0,2013-07-19,Yes,3.0
92,Meena Kumar,44.0,Female,Finance,77921.0,21.0,2019-04-03,No,2.0
